ville,departement,code_region,nom_region,prix_m2,prix_estime,loyer_m2,loyer_annuel,rendement_brut,categorie_rendement,score_investissement,nombre_transactions
Anould,88,44,Grand Est,1986.6773867186694,99333.86933593347,8.48129343215571,5088.776059293426,5.1229012755799195,Bon,0.12893138336972892,50
Anse,69,84,Auvergne-Rhône-Alpes,3545.4121706037713,177270.60853018856,12.5684179212233,7541.05075273398,4.253976908670546,Moyen,0.12958422999325905,108
Antibes,06,93,Provence-Alpes-Côte d’Azur,6113.64550999601,305682.2754998005,20.4013603987311,12240.816239238658,4.00442460042033,Moyen,1.4960150653821604,2284
Antony,92,11,Île-de-France,5587.15670689703,279357.8353448515,21.4528864733852,12871.731884031118,4.607614412583664,Moyen,0.6152110155679515,746
Anzin,59,32,Hauts-de-France,2643.641283674714,132182.0641837357,8.53281315134184,5119.687890805104,3.8732092151993,Moyen,0.2812999531784315,192
Anzin-Saint-Aubin,62,32,Hauts-de-France,2644.409564355525,132220.47821777625,10.5440004339872,6326.40026039232,4.78473557626399,Moyen,0.07418448385268703,41
Aoste,38,84,Auvergne-Rhône-Alpes,3311.175767382281,165558.78836911405,10.9648422003055,6578.905320183299,3.9737578324840124,Moyen,0.06120534326599734,51
Aouste-Sur-Sye,26,84,Auvergne-Rhône-Alpes,3250.546286736829,162527.31433684146,10.0969656782791,6058.17940696746,3.7274838581358383,Moyen,0.05504281723984751,48
Appoigny,89,27,Bourgogne-Franche-Comté,2903.3485439789597,145167.427198948,9.4538419479077,5672.30516874462,3.9074228139146396,Moyen,0.13592915153911284,101
Apprieu,38,84,Auvergne-Rhône-Alpes,2944.1863487068413,147209.31743534206,12.0182586264334,7210.955175860041,4.89843666249405,Moyen,0.06821439928572051,41
Apremont,85,52,Pays de la Loire,2343.0129929567543,117150.64964783771,8.95695744697709,5374.174468186254,4.587404751353376,Moyen,0.06656888460067265,34
Apt,84,93,Provence-Alpes-Côte d’Azur,3083.261839399622,154163.09196998112,11.3401983843582,6804.11903061492,4.413584953225918,Moyen,0.27627296685852354,193
Aramon,30,76,Occitanie,2631.5362799534473,131576.81399767238,10.2589098688248,6155.345921294879,4.678138749737297,Moyen,0.0853306343134903,48
Arandon-Passins,38,84,Auvergne-Rhône-Alpes,2542.994298469133,127149.71492345665,9.78710378526727,5872.262271160362,4.61838414242252,Moyen,0.05993197735114508,33
Arbois,39,27,Bourgogne-Franche-Comté,2266.310505262166,113315.5252631083,11.5203661145525,6912.219668731501,6.099975844159005,Bon,0.15611214709534915,58
Arc-Sur-Tille,21,27,Bourgogne-Franche-Comté,3103.053027866589,155152.65139332946,9.58161870543127,5748.971223258762,3.7053644727504347,Moyen,0.035823085581923944,30
Arcachon,33,75,Nouvelle-Aquitaine,8268.079137659997,413403.95688299986,16.3849143841897,9830.94863051382,2.378048992234523,Faible,0.15272519697167644,531
Arcangues,64,75,Nouvelle-Aquitaine,7080.17347693616,354008.67384680803,16.3472854979168,9808.37129875008,2.770658467818929,Faible,0.03130610826804645,80
Archamps,74,84,Auvergne-Rhône-Alpes,5797.276326762316,289863.8163381158,21.0406328187079,12624.37969122474,4.355279610511597,Moyen,0.04732957340597715,63
Arcisses,28,24,Centre-Val de Loire,1630.2006307356432,81510.03153678216,7.59441009296048,4556.646055776288,5.590288667377168,Bon,0.10630528869964272,31
Arcueil,94,11,Île-de-France,6415.792828454816,320789.6414227408,22.5646356776788,13538.781406607282,4.220454671341989,Moyen,0.13288020146629426,202
Ardentes,36,24,Centre-Val de Loire,1498.2836937494985,74914.18468747493,7.66866507595056,4601.199045570336,6.1419597166618045,Bon,0.16807254155783158,41
Ardoix,07,84,Auvergne-Rhône-Alpes,1320.1550986187378,66007.75493093689,9.99459610425887,5996.757662555321,9.08492898876754,Excellent,0.22021482774617596,32
Ardon,45,24,Centre-Val de Loire,3224.8723923991442,161243.6196199572,10.0940793493143,6056.44760958858,3.756085123779354,Moyen,0.03494170931506236,30
Ardres,62,32,Hauts-de-France,2180.229360536701,109011.46802683503,9.07987153159476,5447.922918956856,4.997568620592979,Moyen,0.16045550517464455,70
Arelaune-En-Seine,76,28,Normandie,1723.7696021056106,86188.48010528053,9.79811812965736,5878.870877794416,6.82094738254264,Bon,0.14640880825708827,37
Arenthon,74,84,Auvergne-Rhône-Alpes,4244.634954998733,212231.74774993662,19.0396932190641,11423.815931438461,5.382708314167324,Bon,0.04184797426651139,33
Arette,64,75,Nouvelle-Aquitaine,2039.9549892284417,101997.74946142209,8.88144538429276,5328.867230575656,5.224494911616807,Bon,0.0973211701678416,38
Argeliers,11,76,Occitanie,2483.260814232755,124163.04071163775,7.9816141402742,4788.968484164519,3.857000003154442,Moyen,0.08387278491916719,54
Argences,14,28,Normandie,3247.7843982090712,162389.21991045357,10.2619855049578,6157.191302974679,3.791625642619593,Moyen,0.05253524649356914,45
Argences En Aubrac,12,76,Occitanie,1106.786839626719,55339.34198133595,6.99959794973402,4199.758769840412,7.589101386960556,Excellent,0.2674182087232658,39
Argent-Sur-Sauldre,18,24,Centre-Val de Loire,1649.4387824257385,82471.93912128692,6.96448338437644,4178.690030625864,5.0668022058757405,Bon,0.11980152772844756,39
Argentan,61,28,Normandie,2704.2571788686178,135212.85894343088,7.88099878718948,4728.599272313688,3.4971520528916527,Moyen,0.17328913046781214,134
